,Age Range,Group1,Group2,P-Value
0,"(18, inf)",normal_bp,elevated,0.0960653773291008
1,"(18, inf)",normal_bp,stage_1,0.13801534709238666
2,"(18, inf)",normal_bp,stage_2,0.09511899030263854
3,"(18, inf)",normal_bp,stage_3,<0.001
4,"(18, inf)",elevated,stage_1,0.08554473317896148
5,"(18, inf)",elevated,stage_2,0.19408211175852108
6,"(18, inf)",elevated,stage_3,0.054045075970416454
7,"(18, inf)",stage_1,stage_2,0.10776031743335526
8,"(18, inf)",stage_1,stage_3,0.12729373704936034
9,"(18, inf)",stage_2,stage_3,<0.001
