,Age Range,Group1,Group2,P-Value
0,"(18, 31)",normal_bp,elevated,0.08845893606174424
1,"(18, 31)",normal_bp,stage_1,0.0868437067671191
2,"(18, 31)",normal_bp,stage_2,0.08543350261022226
3,"(18, 31)",normal_bp,stage_3,0.06734576549693633
4,"(18, 31)",elevated,stage_1,0.06918807367522169
5,"(18, 31)",elevated,stage_2,0.07229215942177628
6,"(18, 31)",elevated,stage_3,0.06976141422287635
7,"(18, 31)",stage_1,stage_2,0.008667969153890351
8,"(18, 31)",stage_1,stage_3,0.00841048729367724
9,"(18, 31)",stage_2,stage_3,0.0008984285788294436
10,"(31, 51)",normal_bp,elevated,0.11010008926956921
11,"(31, 51)",normal_bp,stage_1,0.08921317402000109
12,"(31, 51)",normal_bp,stage_2,0.07649594644280677
13,"(31, 51)",normal_bp,stage_3,0.08649887455091493
14,"(31, 51)",elevated,stage_1,0.03253808855467384
15,"(31, 51)",elevated,stage_2,0.03069164442512127
16,"(31, 51)",elevated,stage_3,0.0362221443950499
17,"(31, 51)",stage_1,stage_2,0.0989538919009253
18,"(31, 51)",stage_1,stage_3,0.102431281983069
19,"(31, 51)",stage_2,stage_3,0.09911208068531781
20,"(51, inf)",normal_bp,elevated,0.03166158322472194
21,"(51, inf)",normal_bp,stage_1,0.034598836838869294
22,"(51, inf)",normal_bp,stage_2,0.029462879019912843
23,"(51, inf)",normal_bp,stage_3,0.03648350626008984
24,"(51, inf)",elevated,stage_1,0.05090301631060226
25,"(51, inf)",elevated,stage_2,0.047077507312207854
26,"(51, inf)",elevated,stage_3,0.051095793454498696
27,"(51, inf)",stage_1,stage_2,0.10818174394001415
28,"(51, inf)",stage_1,stage_3,0.1391773463752654
29,"(51, inf)",stage_2,stage_3,0.03322085988151903
