,Age Range,Group1,Group2,P-Value
0,"(18, 31)",normal_bp,elevated,0.126623114717275
1,"(18, 31)",normal_bp,stage_1,0.12399049394376237
2,"(18, 31)",normal_bp,stage_2,0.11921395716269388
3,"(18, 31)",normal_bp,stage_3,0.1256408311586017
4,"(18, 31)",elevated,stage_1,0.1505601290254513
5,"(18, 31)",elevated,stage_2,0.15541860290487208
6,"(18, 31)",elevated,stage_3,0.16147209831312007
7,"(18, 31)",stage_1,stage_2,0.045708666237200955
8,"(18, 31)",stage_1,stage_3,0.044662552714874106
9,"(18, 31)",stage_2,stage_3,0.001757538949224349
10,"(31, 51)",normal_bp,elevated,0.056910296506042256
11,"(31, 51)",normal_bp,stage_1,0.054165015252330896
12,"(31, 51)",normal_bp,stage_2,0.05977008388012548
13,"(31, 51)",normal_bp,stage_3,0.055010384607133096
14,"(31, 51)",elevated,stage_1,0.007850148764949315
15,"(31, 51)",elevated,stage_2,0.007298686265194859
16,"(31, 51)",elevated,stage_3,0.006127771394277798
17,"(31, 51)",stage_1,stage_2,0.018155440748540787
18,"(31, 51)",stage_1,stage_3,0.02186002884485862
19,"(31, 51)",stage_2,stage_3,0.1041496146976654
20,"(51, inf)",normal_bp,elevated,0.006588382877263159
21,"(51, inf)",normal_bp,stage_1,0.007049723793169577
22,"(51, inf)",normal_bp,stage_2,0.00783085519348704
23,"(51, inf)",normal_bp,stage_3,0.006551333078861459
24,"(51, inf)",elevated,stage_1,0.047723644551646134
25,"(51, inf)",elevated,stage_2,0.05773800453261816
26,"(51, inf)",elevated,stage_3,0.0457280519165357
27,"(51, inf)",stage_1,stage_2,0.09819132304576966
28,"(51, inf)",stage_1,stage_3,0.09626838775388225
29,"(51, inf)",stage_2,stage_3,0.17966188232827587
