,Age Range,Group1,Group2,P-Value
0,"(18, inf)",normal_bp,elevated,0.06961218453091386
1,"(18, inf)",normal_bp,stage_1,0.10184817406235633
2,"(18, inf)",normal_bp,stage_2,0.13479522348359751
3,"(18, inf)",normal_bp,stage_3,0.09113068493788688
4,"(18, inf)",elevated,stage_1,<0.001
5,"(18, inf)",elevated,stage_2,0.11153125281604179
6,"(18, inf)",elevated,stage_3,0.1228548983576924
7,"(18, inf)",stage_1,stage_2,<0.001
8,"(18, inf)",stage_1,stage_3,0.09730259677919692
9,"(18, inf)",stage_2,stage_3,0.07959622865955537
